Date,Close/Last,Volume,Open,High,Low
09/20/2021,365.7,76203200,367.46,369.25,360.93
09/17/2021,373.83,60912270,377.82,377.87,372.76
09/16/2021,378.31,35193080,376.68,378.9,374.695
09/15/2021,378.05,34097870,375.73,378.41,373.37
09/14/2021,375.26,41826620,377.86,378.61,374.28
09/13/2021,376.33,48741780,378.99,379.43,374.22
09/10/2021,376.59,40249410,381.23,381.97,376.245
09/09/2021,379.47,29398980,381.01,382.15,379.22
09/08/2021,380.78,32949160,381.93,381.93,378.45
09/07/2021,382.11,23970200,381.68,382.778,380.4882
09/03/2021,381.57,24624940,379.22,381.98,379.2003
09/02/2021,380.4,25503540,381.97,382.31,379.15
09/01/2021,380.58,28138310,381.04,382.71,380.37
08/31/2021,379.95,29628180,380.51,380.579,378.36
08/30/2021,380.26,27295670,376.85,380.76,376.83
08/27/2021,376.04,27104750,373.07,376.56,372.57
08/26/2021,372.42,29133330,373.92,374.62,371.97
08/25/2021,374.8,20441880,374.63,375.39,373.855
08/24/2021,374.37,21732910,373.84,374.99,373.36
08/23/2021,373.23,34034740,368.8,373.935,368.79
08/20/2021,367.73,39486030,365.06,368.14,364.74
08/19/2021,363.96,48499370,360.22,365.68,359.96
08/18/2021,362.21,38541940,365.18,366.62,361.865
08/17/2021,365.73,44793900,366.15,367.15,363.23
08/16/2021,368.98,35044110,367.67,369.02,363.7
08/13/2021,368.82,19336190,367.89,369.16,367.38
08/12/2021,367.53,26003880,365.69,367.9,364.295
08/11/2021,366.21,34249810,368.14,368.65,364.84
08/10/2021,366.84,35130800,369.26,369.56,365.62
08/09/2021,368.73,25960250,368.52,369.27,367.39
08/06/2021,368.05,33332110,368.37,369.37,366.905
08/05/2021,369.67,21443930,368.18,369.91,367.45
08/04/2021,367.34,29602240,366.77,368.32,365.63
08/03/2021,366.81,35558510,365.28,366.93,362
08/02/2021,364.6,27334100,366.28,366.88,363.87
07/30/2021,364.57,36484650,362.44,365.17,362.41
07/29/2021,366.48,25672530,365.25,367.6794,365.25
07/28/2021,365.83,42066200,365.6,367.45,363.24
07/27/2021,364.43,57933150,368.22,368.22,360.16
07/26/2021,368.49,28438130,367.49,368.89,366.601
07/23/2021,368.2,31960800,365.31,368.485,363.9157
07/22/2021,363.95,30252240,361.77,363.96,361.77
07/21/2021,361.56,30259860,358.35,361.56,358.12
07/20/2021,358.79,42183700,355.63,360.28,353.8
07/19/2021,354.67,64404630,354.05,355.18,352.04
07/16/2021,357.6,47261960,361.4,362.41,357.24
07/15/2021,360.52,53391560,362.98,363.19,358.46
07/14/2021,363.07,35336350,364.83,365.49,362.22
07/13/2021,362.42,39723020,362.03,365.465,361.54
07/12/2021,362.42,25717680,362.45,362.89,360.83
