Date,Close/Last,Volume,Open,High,Low
09/20/2021,133.49,60956820,135.42,137.46,128
09/17/2021,142.24,38662590,146.9,146.93,140.96
09/16/2021,147.45,26307710,145.55,148.1299,143.24
09/15/2021,147.16,27946310,144.49,147.56,141.765
09/14/2021,143.97,29814580,146.95,147.86,142.82
09/13/2021,145.22,38887340,148.29,148.78,142.76
09/10/2021,145.55,34608870,151,151.85,145.11
09/09/2021,148.9,27643380,150.73,152.1,148.59
09/08/2021,150.51,31711510,151.81,151.85,147.71
09/07/2021,152.07,22592670,151.55,152.88,150.16
09/03/2021,151.45,23323700,148.7,151.94,148.66
09/02/2021,150.1,23824710,151.95,152.34,148.6
09/01/2021,150.31,23891980,150.83,152.82,150.07
08/31/2021,149.49,22948970,150.22,150.3,147.69
08/30/2021,149.91,22817600,146,150.52,145.95
08/27/2021,145.1,23079960,141.69,145.6,141.14
08/26/2021,140.98,26751240,142.67,143.51,140.44
08/25/2021,143.41,19031760,143.49,144.4,142.63
08/24/2021,143.25,18171740,142.61,143.94,142.07
08/23/2021,141.85,24133060,137.03,142.7,137
08/20/2021,135.8,31270570,132.95,136.27,132.58
08/19/2021,131.73,40811910,127.74,133.6,127.45
08/18/2021,129.88,32521180,133.1,134.72,129.51
08/17/2021,133.77,41598790,134.21,135.35,130.97
08/16/2021,137.38,30660390,135.94,137.4299,131.4952
08/13/2021,137.14,18322350,136.18,137.61,135.63
08/12/2021,135.78,19905050,133.81,136.2,132.24
08/11/2021,134.38,23296980,136.5,137.05,132.84
08/10/2021,135.11,26540610,137.77,138.11,133.715
08/09/2021,137.16,17105450,136.91,137.78,135.68
08/06/2021,136.43,21576490,136.79,137.93,135.155
08/05/2021,138.23,19335130,136.56,138.48,135.8
08/04/2021,135.68,24214240,135.09,136.76,133.8
08/03/2021,135.01,31708910,133.44,135.2,129.85
08/02/2021,132.7,27279950,134.54,135.19,132.02
07/30/2021,132.74,28279690,130.35,133.35,130.27
07/29/2021,134.76,22159620,133.48,136.12,133.465
07/28/2021,134.1,35985070,133.86,135.86,131.27
07/27/2021,132.65,44695530,136.83,136.83,127.83
